Adam	A Dong
(1) to admire and respect, esteem, submit, yield; (2) clothes; (3) be accustomed to, bear (climate); (4) again, anew; to repeat, reply, recover, recuperate; (5) to prostrate oneself; to lie in ambush	phục
to lie in wait, ambush; ambush	phục binh
to give back power	phục chính
restore (a painting)	phục chế
reinstate, restore	phục chức
to revive the past, restore the old	phục cổ
to take revenge	phục cừu
take medicines	phục dược
to serve, labor, wait upon, do hard work, attend to	phục dịch
service with the troops	phục dịch với bộ đội
to revalidate	phục giá
flash back	phục hiện
to reintegrate, return	phục hoàn
resurrection; to bring back to life, resurrect, revive	phục hoạt
to restore, rehabilitate, reconstruct; revival, renaissance	phục hưng
to restore	phục hồi
to restore democracy	phục hồi dân chủ
to restore confidence	phục hồi lòng tin
to be restored to power	phục hồi được quyền lực
to summon, evoke, call forth the spirit of a dead person	phục hồn
to (lay an) ambush	phục kích
(botanic) truffle	phục linh
be transported with admiration, take one’s hat off (to somebody)	phục lăn
to obey orders and report back	phục mệnh
to recover one’s property	phục nghiệp
to restore, return to health, rehabilitate	phục nguyên
fat and clumsy	phục phịch
to rehabilitate, restore to a position (of rank, privilege, etc.)	phục quyền
to restore national sovereignty, regain national independence	phục quốc
to be reborn, born again	phục sinh
to admire greatly	phục sát đất
clothing	phục sức
to be in mourning	phục tang
to yield to reason, correct oneself	phục thiên
listen to reason	phục thiện
to take medications, self-medicate	phục thuốc
to avenge, revenge oneself, have or take revenge	phục thù
letter in reply	phục thư
to bury	phục thổ
fashion (in clothing)	phục thức
costume (of actors)	phục trang
revigorate	phục tráng
to submit oneself, yield to, obey	phục tòng
to submit oneself, yield to, obey	phục tùng
accept punishment, give oneself up	phục tội
to demobilize the troops	phục viên
to prostrate oneself	phục vị
to serve, help, assist; service	phục vụ
to serve as an officer	phục vụ là sĩ quân
to serve one’s country, homeland	phục vụ quê hương
to serve in the military	phục vụ trong quân đội
sniping	phục xạ
sniper scope	phục xạ kính
sniper	phục xạ thủ
(1) male phoenix; (2) to receive (from a superior), serve, obey, honor	phụng
to pay respect	phụng bái
to have the honor to announce	phụng báo
to obey the imperial decree	phụng chỉ
to support, maintain (one’s parents)	phụng dưỡng
male and female phoenix	phụng hoàng
brotherhood	phụng hội
imperial, royal carriage	phụng liễn
to comply with orders from above	phụng mệnh
to sulk, look unhappy	phụng phịu
to be sent as an envoy	phụng sứ
to serve, attend; service	phụng sự
to serve one’s country	phụng sự quốc gia
suddenly	phụt
to cover, overlay; palace, residence; not, not, against	phủ
to revise an essay	phủ chính bài văn
the presidency palace	phủ chủ tịch
governor of the province where the capital was located	phủ doãn
to cover	phủ kín
to cover	phủ lấp
to deny, negate	phủ nhận
deny	phủ nhận không
abundant	phủ phê
kowtow very low	phủ phục
to veto	phủ quyết
chief of the district where the capital was located	phủ thừa
innards	phủ tạng
axe and big hammer, corporeal punishment implement	phủ việt
to be down (shades, blinds)	phủ xuống
prefect	phủ đường
preventive, premonitory	phủ đầu
to be covered with dust	phủ đầy bụi
palace (of princes)	phủ đệ
negative	phủ định
to dust, brush off	phủi
to dust	phủi bụi
to wash one’s hands of something	phủi tay
disregard the favor (done by somebody)	phủi ơn
(1) complicated, complex; (2) fragrant, flavored, sweet-smelling	phức
complex substances	phức chất
complex	phức hệ
complex number	phức số
complicated, complex, diverse, intricate	phức tạp
complicate	phức tạp hóa
without hesitation, definitively	phứy
flame, glow	phừng phừng
sound made by snapping string	phựt
pi	pi
piano	pi a nô
(a pair of) pajamas	pi gia ma
pilot	pi lốt
pipette	pi pét
pyramidon	pi ra mi đông
pyrites	pi rít
battery	pin
dry cell, dry battery	pin khô
platinum	pla tin
poncho	pon cho
proton	prô ton
protein	prô tê in
protein	prô tít
protocol	prô tô côn
pulley	pu li
breeze-block	pác-panh
pastel	pát xten
perlon	péc lông
permanganate	péc măng ga nát
perlon (similar to nylon in the united states)	péc-lông
permission	péc-mi
permanganate	péc-măng-ga-nát
penalty	pê nan ti
penicillin	pê ni xi lin
pedal-boat, pedalo	pê đa lô
pedal	pê đan
spade	pích
picnic	pích ních
pipe (for smoking)	píp
running or racing	pít
polymer	pô li me
polyethylene	pô li ê ti len
poplin	pô pơ lin
potash	pô tát
slipper	păng túp
thought; pansy	păng xê
for 18 years	qua 18 năm
after, by, through, over; last (week, day, etc.); to pass by, go across, cross over	qua
to come to America, cross over to America	qua Mỹ
every cloud has a silver lining	qua cơ bĩ cực
experiences, go through	qua cầu
to lift the arch after crossing the bridge	qua cầu rút ván
through, over the Internet	qua hệ thống Internet
to pass by, go past	qua khỏi
summary; cursory; perfunctory; for form's sake	qua loa
for mere form’s sake	qua lân
to come and go	qua lại
filterable	qua lọc
charcoal	qua lửa than
spear and pike	qua mâu
by means of, via	qua môi trường
across, over, through a network	qua mạng lưới
to ignore; to overtake, pass	qua mặt
cape (geographical)	qua mỏm
to kill the time	qua ngày
a lot of, very many	qua nhiều
over, through many generations	qua nhiều thế hệ
throughout, across the centuries	qua nhiều thế kỷ
by, during, within the year 1996	qua năm 1996
cross the river	qua sông
be past the time	qua thì
for a long (period of) time	qua thời gian
by means of, via	qua trung gian của
to	qua tới
overnight	qua đêm
through, by this, based on this	qua đó
via, by means of, through	qua đường
through, via the mail, post	qua đường bưu điện
by telephone	qua đường dây diện thoại
to die, pass away	qua đời
mumps, parotitis	quai bị
oar-strap	quai chèo
jaw	quai hàm
drawl loud-mouthedly	quai mồm
chin strap (of conical hat)	quai nón
fringe hanging at both side of a conical hat	quai thao
(1) official, officer; (2) franc (unit of currency); (3) coffin; (4) sense	quan
military official, military officer	quan binh
observe, see	quan chiêm
civil service system	quan chế
official, dignitary	quan chức
government official	quan chức chính quyền
mandarin hierarchy	quan giai
frontier post and river, parting	quan hà
mandarin’s title	quan hàm
relation, connection; to be important, affect, concern, correlate	quan hệ
a dubious relationship	quan hệ bất minh
indirect relation(ship)	quan hệ gián tiếp
relation, connection between	quan hệ giữa
relations between the US and Communist Vietnam	quan hệ giữa Hoa Kỳ và CSVN
economic relations	quan hệ kinh tế
trade relations	quan hệ mậu dịch
illicit relationship	quan hệ ngang tắt
diplomatic, foreign relations	quan hệ ngoại giao
causality	quan hệ nhân quả
foreign relations	quan hệ nước ngoài
international relations	quan hệ quốc tế
bilateral relations	quan hệ song phương
production relations	quan hệ sản xuất
trade relations	quan hệ thương mại
social relations, social relationship	quan hệ xã hội
village song, folk song	quan họ
guest, personality, figure	quan khách
authoritative, bureaucratic; bureaucracy, officialdom, the government	quan liêu
officials, authorities	quan lại
the mandarins harassed the people	quan lại nhũng dân
highway	quan lộ
great mandarin	quan lớn
to hinder, obstruct; to worry, concern	quan ngại
mandarins’ institution, mandarin’s office	quan nha
to think, believe; idea, concept	quan niệm
official order, proclamation	quan phán
barred doors	quan phòng
term for a mandarin	quan phụ mẫu
officers and soldiers, government army, armed forces	quan quân
frontier post and mountains, remote place, remote district	quan san
to look at, look around, observe, watch	quan sát
observer	quan sát viên
international observer	quan sát viên quốc tế
closely connected, closely related	quan thiết
pekinese, mandarin	quan thoại
patron, sponsor	quan thầy
eunuch	quan thị
to be important, vital	quan trọng
to exaggerate, overplay, dramatize, to	quan trọng hóa
most important(ly)	quan trọng nhất
coffin	quan tài
frontier pass	quan tái
to pay attention, take an interest, concern; interest (in something)	quan tâm
to pay attention to a situation	quan tâm trước tình trạng
judge, magistrate	quan tòa
mandarin’s title	quan tước
military mandarin	quan võ
civil mandarin	quan văn
important	quan yếu
common (land)	quan điền
standpoint, viewpoint, position, point of view, position	quan điểm
different standpoint, difference of opinion	quan điểm dị biệt
laborer’s view point	quan điểm lao động
historical viewpoint	quan điểm lịch sử
majority position	quan điểm đa số
frontier post	quan ải
light, bright	quang
news flash	quang báo
sight, scene, spectacle, situation	quang cảnh
varnish, lacquer	quang dầu
photoconduction	quang dẫn
rattan or bamboo frame (to hold loads at the end of a	quang gánh
glory, fame	quang huy
optics	quang học
photosynthesis	quang hợp
photometer	quang kế
actinotherapy	quang liệu pháp
photo energy	quang năng
restoration; to restore	quang phục
(of hen, duck) quack	quang quác
aberration	quang sai
optical axis	quang trục
optical centre	quang tâm
photomagnetic	quang từ
photon	quang tử
glorious	quang vinh
light and darkness, time	quang âm
photo-electric	quang điện
clear (weather)	quang đãng
luminous intensity, luminosity	quang độ
phototypesetting	quang ấn
phototactism	quang ứng động
around, surrounding, about; winding, crooked	quanh
winding, twisting	quanh co
all year round, year-round, throughout the year	quanh năm
glutinous, adhesive, stick, slimy, gluey	quanh quánh
about here, round about	quanh quất
to turn around, go around in circles	quanh quẩn
to turn 180 degrees, completely reverse oneself	quay 180 độ
(1) to roast (fowl, pig); (2) to turn (wheel, crank), revolve, go around, swivel, spin	quay
to revolve around the earth	quay chung quanh Trái Đất
slow motion (e.g. in a film)	quay chậm
to swirl, twist about	quay cuồng
to crib, copy	quay cóp
turn one’s arms against	quay giáo
turn on one’s heels	quay gót
to turn back, go back	quay lui
turn one’s back on	quay lưng
to turn round, come back, return	quay lại
to turn	quay mặt
to turn (oneself) around	quay người
to turn (oneself) around	quay người lại
to turn around and look at	quay nhìn
deceitful, false, devious	quay quắt
to turn towards	quay sang
to turn a gun (on sb), twirl a gun (in one’s hand)	quay súng
to dial a number	quay số
to dial a (telephone) number	quay số điện thoại
to turn back	quay trở
to turn around	quay trở lại
to turn around and go back in	quay trở vào
to turn around and come back	quay trở về
to turn (rapidly)	quay tít
spinning	quay tơ
to spin around	quay vòng vòng
to turn to religion	quay về với tôn giáo
turn away from, turn one’s back	quay đi
in a dead faint	quay đơ
stick, twig	que
fire-irons	que chọc lò
poker	que cời
poker	que cời lửa
match (stick)	que diêm
soldering stick	que hàn
